store_name,owner_name,contact_number,address,city,website,google_maps_url
Rajasthan Granites,,Send to phone,"VP4P+Q8X, Manyawas, Jaipur, Rajasthan 302020",Jaipur,4.8,4,Granite supplier,https://graniterajasthan.com/,https://www.google.com/maps/place/Rajasthan+Granites/data=!4m7!3m6!1s0x396db5395bcbf5e9:0x9556fdd8c70a43af!8m2!3d26.856988!4d75.7358488!16s%2Fg%2F11h11kr6x7!19sChIJ6fXLWzm1bTkRr0MKx9j9VpU?authuser=0&hl=en&rclk=1
Jaipur Stone Pebble (White Black Colored Wholesale),,07340561155,"B3, Bhan Nagar, Basement, Queens Rd, Vaishali Nagar, Jaipur, Rajasthan 302021",Jaipur,4.8,32,Landscaping supply store,https://jaipurstone.ru/,https://www.google.com/maps/place/Jaipur+Stone+Pebble+%28White+Black+Colored+Wholesale%29/data=!4m7!3m6!1s0x396db5e27651a82b:0xb78bbb74125901ef!8m2!3d26.9015783!4d75.7541876!16s%2Fg%2F11hwvl0z2c!19sChIJK6hRduK1bTkR7wFZEnS7i7c?authuser=0&hl=en&rclk=1
Shri Balaji Marbles,,09783188266,"New Sanganer Rd, Ward 27, Mansarovar Sector 6, Mansarovar, Jaipur, Rajasthan 302020",Jaipur,2.7,19,Marble supplier,,https://www.google.com/maps/place/Shri+Balaji+Marbles/data=!4m7!3m6!1s0x396db5087cf257e1:0x987c727b81de866c!8m2!3d26.8567814!4d75.7576785!16s%2Fg%2F1ptwtz8hp!19sChIJ4VfyfAi1bTkRbIbegXtyfJg?authuser=0&hl=en&rclk=1
Maharaja Stones,,Send to phone,"701,7th floor, Hari Alokik Heights, D-50, Subhash Marg, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001",Jaipur,5.0,12,Granite supplier,,https://www.google.com/maps/place/Maharaja+Stones/data=!4m7!3m6!1s0x396db40b87c48e55:0x539cd1ff42d4295c!8m2!3d26.9138527!4d75.8038775!16s%2Fg%2F124t5kff7!19sChIJVY7Ehwu0bTkRXCnUQv_RnFM?authuser=0&hl=en&rclk=1
Marble Udhyog,,09414073597,"Govind Marg, Saket Colony, Adarsh Nagar, Jaipur, Rajasthan 302004",Jaipur,4.1,19,Building materials store,,https://www.google.com/maps/place/Marble+Udhyog/data=!4m7!3m6!1s0x396db6c1ec7c4d1d:0x3d03ab60a089cdc5!8m2!3d26.9009726!4d75.8348941!16s%2Fg%2F11c1n91_8v!19sChIJHU187MG2bTkRxc2JoGCrAz0?authuser=0&hl=en&rclk=1
Pareek Stonex Marble & Granite,,09829173551,"Police Station, C-353, Kings Rd, near shyam Nagar, Nirman Nagar, Ranisati Nagar, Jaipur, Rajasthan 302020",Jaipur,5.0,1,Marble contractor,,https://www.google.com/maps/place/Pareek+Stonex+Marble+%26+Granite/data=!4m7!3m6!1s0x396db4f2525487fd:0x3b4c191b52f4c4bc!8m2!3d26.8874488!4d75.7515445!16s%2Fg%2F1yfj834pg!19sChIJ_YdUUvK0bTkRvMT0UhsZTDs?authuser=0&hl=en&rclk=1
AMAC Stones,,08209113728,"Shyam Sarovar Colony, 100 Ft. Road, Gopalpura Bypass Rd, near Rana Granite & Marbles, Gajsinghpur, Jaipur, Rajasthan 302020",Jaipur,5.0,13,Natural stone supplier,https://amacstones.com/,https://www.google.com/maps/place/AMAC+Stones/data=!4m7!3m6!1s0x396db30ffe987e2f:0xf6612d832955f9e1!8m2!3d26.8724319!4d75.7304655!16s%2Fg%2F11jbd789r0!19sChIJL36Y_g-zbTkR4flVKYMtYfY?authuser=0&hl=en&rclk=1
Balaji Granite Tiles Marble,,Send to phone,"Shop No 18, Gokul Vihar, Govindpura - Sirsi Link Rd, near Pani Ki Tanki, Hanuman Nagar, Jhotwara, Jaipur, Rajasthan 302012",Jaipur,5.0,3,Tile store,,https://www.google.com/maps/place/Balaji+Granite+Tiles+Marble/data=!4m7!3m6!1s0x396c4cc3ea3e115d:0xe25309ef9260fbbe!8m2!3d26.9338984!4d75.6935893!16s%2Fg%2F11yh2m86kq!19sChIJXRE-6sNMbDkRvvtgku8JU-I?authuser=0&hl=en&rclk=1
Shree Karni Marbles and Granite,,Send to phone,"SEZ Rd, Jaipur, Ramchandpura, Rajasthan 302026",Jaipur,5.0,2,Marble supplier,https://instagram.com/shreekarni_marbles?igshid=MzRlODBiNWFlZA==,https://www.google.com/maps/place/Shree+Karni+Marbles+and+Granite/data=!4m7!3m6!1s0x396c4b108fa242f5:0xaf21b737be7887af!8m2!3d26.8493578!4d75.6557869!16s%2Fg%2F11vclw8njg!19sChIJ9UKijxBLbDkRr4d4vje3Ia8?authuser=0&hl=en&rclk=1
Digvijay Marble,,08560800951,"A 168 Surjeet Nagar, Patrol Pump K Pass, Kalwar Road Jaipur, Jaipur, Rajasthan 302012",Jaipur,4.6,11,Marble supplier,,https://www.google.com/maps/place/Digvijay+Marble/data=!4m7!3m6!1s0x396db3257464b235:0x9722675934d347a6!8m2!3d26.9471744!4d75.7270287!16s%2Fg%2F11c2lsfxkn!19sChIJNbJkdCWzbTkRpkfTNFlnIpc?authuser=0&hl=en&rclk=1
Shree Shyam Marble,,07878855829,"Pandit Ji Ka Farm, New Sanganer Rd, opposite Sparsh Hospital, near Oxford International Public School, Sanganer, Jaipur, Rajasthan 302029",Jaipur,3.7,3,Granite supplier,https://www.indiamart.com/shreeshyammarble/,https://www.google.com/maps/place/Shree+Shyam+Marble/data=!4m7!3m6!1s0x396dca75bca8a127:0xc52bf7052311b439!8m2!3d26.8230116!4d75.7824744!16s%2Fg%2F11c5rq3r6_!19sChIJJ6GovHXKbTkRObQRIwX3K8U?authuser=0&hl=en&rclk=1
Neelmani Tiles & Granite,,07877702774,"Metro Pillar No 23, Metro Station Mansarovar, Opposite, Gopalpura Bypass Rd, Mansarovar Sector 1, Mansarovar, Jaipur, Rajasthan 302020",Jaipur,5.0,2,Tile store,,https://www.google.com/maps/place/Neelmani+Tiles+%26+Granite/data=!4m7!3m6!1s0x396db5ff07e79d93:0x105862e45701e4dc!8m2!3d26.879269!4d75.7533!16s%2Fg%2F11ltv7h6h1!19sChIJk53nB_-1bTkR3OQBV-RiWBA?authuser=0&hl=en&rclk=1
